op_type,device,count,time_us,time_ms,avg_us_per_call
AddN,/job:localhost/replica:0/task:0/device:MUSA:0,54,55105.0,55.105,1020.4629629629629
SplitV,/job:localhost/replica:0/task:0/device:MUSA:0,3,21105.0,21.105,7035.0
StridedSlice,/job:localhost/replica:0/task:0/device:MUSA:0,167,13398.0,13.398,80.22754491017965
ConcatV2,/job:localhost/replica:0/task:0/device:MUSA:0,164,8133.0,8.133,49.59146341463415
MatMul,/job:localhost/replica:0/task:0/device:MUSA:0,294,7848.0,7.848,26.693877551020407
Prod,/job:localhost/replica:0/task:0/device:MUSA:0,138,7488.0,7.488,54.26086956521739
Mean,/job:localhost/replica:0/task:0/device:MUSA:0,75,6172.0,6.172,82.29333333333334
RealDiv,/job:localhost/replica:0/task:0/device:MUSA:0,203,5352.0,5.352,26.364532019704434
Pow,/job:localhost/replica:0/task:0/device:MUSA:0,193,4555.0,4.555,23.60103626943005
Select,/job:localhost/replica:0/task:0/device:MUSA:0,85,3528.0,3.528,41.50588235294118
Mul,/job:localhost/replica:0/task:0/device:MUSA:0,145,3350.0,3.35,23.103448275862068
AddV2,/job:localhost/replica:0/task:0/device:MUSA:0,131,3124.0,3.124,23.84732824427481
Relu,/job:localhost/replica:0/task:0/device:MUSA:0,120,2963.0,2.963,24.691666666666666
Sub,/job:localhost/replica:0/task:0/device:MUSA:0,132,2672.0,2.672,20.242424242424242
Add,/job:localhost/replica:0/task:0/device:MUSA:0,116,2600.0,2.6,22.413793103448278
Pack,/job:localhost/replica:0/task:0/device:MUSA:0,117,2573.0,2.573,21.99145299145299
Reshape,/job:localhost/replica:0/task:0/device:MUSA:0,483,2302.0,2.302,4.766045548654244
Fill,/job:localhost/replica:0/task:0/device:MUSA:0,57,2168.0,2.168,38.03508771929825
Maximum,/job:localhost/replica:0/task:0/device:MUSA:0,38,1729.0,1.729,45.5
Equal,/job:localhost/replica:0/task:0/device:MUSA:0,29,1698.0,1.698,58.55172413793103
ExpandDims,/job:localhost/replica:0/task:0/device:MUSA:0,34,1615.0,1.615,47.5
BatchMatMulV2,/job:localhost/replica:0/task:0/device:MUSA:0,32,1418.0,1.418,44.3125
LogicalAnd,/job:localhost/replica:0/task:0/device:MUSA:0,13,1404.0,1.404,108.0
Unpack,/job:localhost/replica:0/task:0/device:MUSA:0,49,1404.0,1.404,28.653061224489797
Sum,/job:localhost/replica:0/task:0/device:MUSA:0,38,1279.0,1.279,33.6578947368421
SquaredDifference,/job:localhost/replica:0/task:0/device:MUSA:0,33,1223.0,1.223,37.06060606060606
Const,/job:localhost/replica:0/task:0/device:MUSA:0,189,1181.0,1.181,6.248677248677248
LogicalOr,/job:localhost/replica:0/task:0/device:MUSA:0,14,1146.0,1.146,81.85714285714286
Cast,/job:localhost/replica:0/task:0/device:MUSA:0,47,1069.0,1.069,22.74468085106383
NotEqual,/job:localhost/replica:0/task:0/device:MUSA:0,32,1016.0,1.016,31.75
Minimum,/job:localhost/replica:0/task:0/device:MUSA:0,37,888.0,0.888,24.0
Rsqrt,/job:localhost/replica:0/task:0/device:MUSA:0,37,812.0,0.812,21.945945945945947
Placeholder,/job:localhost/replica:0/task:0/device:CPU:0,1782,768.0,0.768,0.43097643097643096
Transpose,/job:localhost/replica:0/task:0/device:MUSA:0,18,765.0,0.765,42.5
Tanh,/job:localhost/replica:0/task:0/device:MUSA:0,19,658.0,0.658,34.63157894736842
Log,/job:localhost/replica:0/task:0/device:MUSA:0,28,402.0,0.402,14.357142857142858
IsNan,/job:localhost/replica:0/task:0/device:MUSA:0,15,352.0,0.352,23.466666666666665
Exp,/job:localhost/replica:0/task:0/device:MUSA:0,13,336.0,0.336,25.846153846153847
LogicalNot,/job:localhost/replica:0/task:0/device:MUSA:0,2,332.0,0.332,166.0
Shape,/job:localhost/replica:0/task:0/device:MUSA:0,134,331.0,0.331,2.470149253731343
GatherV2,/job:localhost/replica:0/task:0/device:MUSA:0,21,269.0,0.269,12.80952380952381
Tile,/job:localhost/replica:0/task:0/device:MUSA:0,28,258.0,0.258,9.214285714285714
Slice,/job:localhost/replica:0/task:0/device:MUSA:0,16,241.0,0.241,15.0625
Sigmoid,/job:localhost/replica:0/task:0/device:MUSA:0,15,235.0,0.235,15.666666666666666
Sign,/job:localhost/replica:0/task:0/device:MUSA:0,9,225.0,0.225,25.0
ZerosLike,/job:localhost/replica:0/task:0/device:MUSA:0,7,156.0,0.156,22.285714285714285
Less,/job:localhost/replica:0/task:0/device:MUSA:0,5,131.0,0.131,26.2
RandomUniform,/job:localhost/replica:0/task:0/device:MUSA:0,5,128.0,0.128,25.6
Greater,/job:localhost/replica:0/task:0/device:MUSA:0,4,105.0,0.105,26.25
Softmax,/job:localhost/replica:0/task:0/device:MUSA:0,5,102.0,0.102,20.4
Where,/job:localhost/replica:0/task:0/device:CPU:0,16,90.0,0.09,5.625
Split,/job:localhost/replica:0/task:0/device:MUSA:0,3,81.0,0.081,27.0
Squeeze,/job:localhost/replica:0/task:0/device:MUSA:0,53,59.0,0.059,1.1132075471698113
Neg,/job:localhost/replica:0/task:0/device:MUSA:0,8,58.0,0.058,7.25
DiagPart,/job:localhost/replica:0/task:0/device:MUSA:0,1,33.0,0.033,33.0
Square,/job:localhost/replica:0/task:0/device:MUSA:0,2,25.0,0.025,12.5
Equal,/job:localhost/replica:0/task:0/device:CPU:0,1,22.0,0.022,22.0
Sqrt,/job:localhost/replica:0/task:0/device:MUSA:0,2,19.0,0.019,9.5
Prod,/job:localhost/replica:0/task:0/device:CPU:0,12,10.0,0.01,0.8333333333333334
Mean,/job:localhost/replica:0/task:0/device:CPU:0,5,5.0,0.005,1.0
Const,/job:localhost/replica:0/task:0/device:CPU:0,1,2.0,0.002,2.0
Identity,/job:localhost/replica:0/task:0/device:CPU:0,1,2.0,0.002,2.0
Identity,/job:localhost/replica:0/task:0/device:MUSA:0,1,1.0,0.001,1.0
Unknown,/job:localhost/replica:0/task:0/device:MUSA:0,1,0.0,0.0,0.0
Unknown,/job:localhost/replica:0/task:0/device:CPU:0,1,0.0,0.0,0.0
